BasedOn.Code,CanRamp,ConfigureDuringSale,Description,DisplayUrl,Family,IsActive,IsAssetizable,IsSoldOnlyWithOtherProds,Name,ProductCode,QuantityUnitOfMeasure,SpecificationType,StockKeepingUnit,Type,UnitOfMeasure.UnitCode
PC-KLD-AI,false,,"Identifies Key People, Key Events, and Key Documents within the target data set. Prerequisite: ECI Core.",,Software,true,true,false,eDiscovery AI - Early Case Insight (Case Elements),KLD-AI-ECI-ELEMENTS,,,KLD-AI-ECI-ELEMENTS,,DOC-RUN
PC-KLD-AI,false,,Natural-language chatbot for questioning ECI Core data. Billed per document every 3 months; includes unlimited queries against the ECI Core data set.,,Software,true,true,false,eDiscovery AI - Early Case Bot (CaseBot),KLD-AI-CASEBOT,,,KLD-AI-CASEBOT,,DOC-QTR
PC-KLD-AI,false,,Identifies highly relevant documents using advanced analytics and GenAI. Pricing includes up to 15 prompts per run.,,Software,true,true,false,eDiscovery AI - Relevance,KLD-AI-RELEVANCE,,,KLD-AI-RELEVANCE,,DOC-RUN
PC-KLD-AI,false,,"Privilege detection with pre-built Attorney-Client and Work Product identifiers, plus up to two custom privilege identifiers.",,Software,true,true,false,eDiscovery AI - Privilege,KLD-AI-PRIVILEGE,,,KLD-AI-PRIVILEGE,,DOC-RUN
PC-KLD-AI,false,,Detects common personally identifiable information (PII) and protected health information (PHI) within the target data set.,,Software,true,true,false,eDiscovery AI - PII Detect,KLD-AI-PII-DETECT,,,KLD-AI-PII-DETECT,,DOC
PC-KLD-AI,false,,Extracts identified PII/PHI from target data sets for downstream review or notification workflows.,,Software,true,true,false,eDiscovery AI - PII Extract,KLD-AI-PII-EXTRACT,,,KLD-AI-PII-EXTRACT,,DOC
PC-KLD-AI,false,,AI-driven redaction based on PII Detect results. One document unit is billed per page analyzed.,,Software,true,true,false,eDiscovery AI - PII Redact,KLD-AI-PII-REDACT,,,KLD-AI-PII-REDACT,,PAGE
PC-KLD-EXTEND,false,,Application of advanced analytics for identification of potentially relevant files. The per-document fee applies to the number of documents in the target data set per prompt.,,Software,true,true,false,RelativityOne - aiR for Review,KLD-EXT-AIR-REVIEW,,,KLD-EXT-AIR-REVIEW,,DOC
PC-KLD-EXTEND,false,,Application of advanced analytics for identification of potentially privileged files and creation of preliminary privilege logs.,,Software,true,true,false,RelativityOne - aiR for Privilege,KLD-EXT-AIR-PRIV,,,KLD-EXT-AIR-PRIV,,DOC
PC-KLD-EXTEND,false,,Cloud-based machine translation for review documents.,,Software,true,true,false,RelativityOne Translate,KLD-EXT-XLAT,,,KLD-EXT-XLAT,,DOC
PC-KLD-EXTEND,false,,"Relativity Contracts integrated contract review — transform executed agreements into structured, searchable data.",,Software,true,true,false,Relativity Contracts,KLD-EXT-CONTRACTS,,,KLD-EXT-CONTRACTS,,DOC
PC-KLD-EXTEND,false,,AI-powered identification and redaction of personal information using pre-trained detectors.,,Software,true,true,false,Relativity PI Detect,KLD-EXT-PI-DETECT,,,KLD-EXT-PI-DETECT,,DOC-RUN
PC-KLD-EXTEND,false,,"AI-powered solution to reduce time, cost, and risk when producing an entity notification list for data breach response.",,Software,true,true,false,Relativity Data Breach Response,KLD-EXT-BREACH,GB,,KLD-EXT-BREACH,,GB
PC-KLD-EXTEND,false,,"AI-driven case strategy workspace to identify key facts, players, and issues. Includes up to 10,000 documents (burst rate $0.30/document over 10K), up to 150 GB of deposition video hosting, and unlimited memos.",,Software,true,true,false,Relativity aiR Case Strategy,KLD-EXT-CASE-STRAT,,,KLD-EXT-CASE-STRAT,,EACH
PC-KLD-PS,false,,"Consultative and customized support including ESI analysis, customized processing solutions, document review workflow design, production query design, and quality control customization.",,Services,true,true,false,Project Management,KLD-PS-PM,h,,KLD-PS-PM,,h
PC-KLD-PS,false,,"Billable technical operations including processing/loading of third-party data, load-file customization, custom production templates, and review-platform support. Time rounded up to 6-minute (0.1 hour) increments; weekends and holidays billed at the standard flat rate.",,Services,true,true,false,Technical Support,KLD-PS-TECH,h,,KLD-PS-TECH,,h
PC-KLD-PS,false,,"Consulting on optimal utilization of TAR, search term/ECA strategy, predictive coding, and review workflow design.",,Services,true,true,false,Advanced Analytics Consulting,KLD-PS-AA-CONSULT,h,,KLD-PS-AA-CONSULT,,h
PC-KLD-PS,false,,"Consulting services including information governance, preservation and collections, discovery readiness, ESI stipulation, early data assessment, predictive coding, and review strategy.",,Services,true,true,false,Consulting Services,KLD-PS-CONSULT,h,,KLD-PS-CONSULT,,h
PC-KLD-PS,false,,Expert testimony services including deposition and trial testimony and authoring of expert reports and affidavits.,,Services,true,true,false,Expert Testimony,KLD-PS-EXPERT,h,,KLD-PS-EXPERT,,h
PC-KLD-MEDIA,false,,Hard drive media used for deliverables.,,Services,true,true,false,Hard Drive,KLD-MED-HDD,,,KLD-MED-HDD,,EACH
PC-KLD-MEDIA,false,,"Shipping charges billed as incurred (postage, ground courier, FedEx, etc.).",,Services,true,true,false,Freight,KLD-MED-FREIGHT,,,KLD-MED-FREIGHT,,USD
